"pid","grp","duration","entry","exit","num"
5060,"inactive",174,169,493,7046
5074,"inactive",174,169,497,7046
5076,"inactive",174,169,495,7046
5078,"inactive",175,170,492,7046
5084,"inactive",175,170,495,7046
5090,"inactive",175,170,501,7046
5098,"inactive",175,170,496,7046
5106,"inactive",175,170,496,7046
5114,"inactive",176,171,501,7046
5115,"inactive",176,171,499,7046
5123,"inactive",176,171,500,7046
5126,"inactive",176,171,500,7046
5151,"inactive",177,172,498,7046
5156,"inactive",177,172,503,7046
5158,"inactive",177,172,502,7046
5165,"inactive",177,172,505,7046
5171,"inactive",177,172,503,7046
5173,"inactive",177,172,502,7046
5174,"inactive",177,172,507,7046
5189,"inactive",178,173,509,7046
5190,"inactive",178,173,503,7046
5193,"inactive",178,173,505,7046
5196,"inactive",178,173,505,7046
5203,"inactive",179,174,505,7046
5211,"inactive",179,174,507,7046
5228,"inactive",180,175,510,7046
5235,"inactive",180,175,508,7046
5237,"inactive",180,175,512,7046
5240,"inactive",180,175,515,7046
5241,"inactive",180,175,509,7046
5245,"inactive",180,175,511,7046
5253,"inactive",181,176,516,7046
5261,"inactive",181,176,517,7046
5262,"inactive",181,176,514,7046
5271,"inactive",182,177,518,7046
5274,"inactive",182,177,514,7046
5285,"inactive",182,177,515,7046
5286,"inactive",182,177,517,7046
5287,"inactive",182,177,516,7046
5310,"inactive",183,178,520,7046
5314,"inactive",183,178,520,7046
5331,"inactive",184,179,523,7046
5332,"inactive",184,179,522,7046
5334,"inactive",184,179,522,7046
5335,"inactive",184,179,521,7046
5336,"inactive",184,179,523,7046
5338,"inactive",184,179,522,7046
5341,"inactive",184,179,520,7046
5346,"inactive",184,179,521,7046
5347,"inactive",184,179,524,7046
5348,"inactive",184,179,523,7046
5365,"inactive",185,180,524,7046
5368,"inactive",185,180,525,7046
5374,"inactive",185,180,524,7046
5385,"inactive",185,180,530,7046
5386,"inactive",185,180,529,7046
5387,"inactive",186,181,530,7046
5394,"inactive",186,181,528,7046
5411,"inactive",187,182,530,7046
5417,"inactive",187,182,533,7046
5421,"inactive",187,182,532,7046
5424,"inactive",187,182,533,7046
5426,"inactive",187,182,533,7046
5445,"inactive",188,183,539,7046
5459,"inactive",188,183,540,7046
5461,"inactive",188,183,538,7046
5464,"inactive",188,183,537,7046
5465,"inactive",188,183,536,7046
5468,"inactive",188,183,539,7046
5474,"inactive",188,183,540,7046
5475,"inactive",188,183,537,7046
5481,"inactive",188,183,536,7046
5483,"inactive",189,184,537,7046
5489,"inactive",189,184,544,7046
5493,"inactive",189,184,539,7046
5500,"inactive",189,184,542,7046
5504,"inactive",189,184,539,7046
5508,"inactive",190,185,543,7046
5521,"inactive",190,185,549,7046
5538,"inactive",191,186,545,7046
5542,"inactive",191,186,545,7046
5546,"inactive",191,186,546,7046
5548,"inactive",191,186,549,7046
5549,"inactive",191,186,547,7046
5551,"inactive",191,186,547,7046
5554,"inactive",191,186,546,7046
5563,"inactive",192,187,550,7046
5573,"inactive",192,187,548,7046
5585,"inactive",192,187,551,7046
5589,"inactive",192,187,555,7046
5599,"inactive",193,188,551,7046
5613,"inactive",193,188,552,7046
5616,"inactive",193,188,553,7046
5618,"inactive",193,188,556,7046
5628,"inactive",194,189,556,7046
5630,"inactive",194,189,555,7046
5635,"inactive",194,189,557,7046
5641,"inactive",194,189,560,7046
5644,"inactive",194,189,559,7046
5649,"inactive",194,189,557,7046
5650,"inactive",194,189,561,7046
5651,"inactive",194,189,558,7046
5652,"inactive",194,189,555,7046
5677,"inactive",195,190,559,7046
5678,"inactive",196,191,563,7046
5685,"inactive",196,191,564,7046
5692,"inactive",196,191,569,7046
5706,"inactive",196,191,566,7046
5711,"inactive",197,192,566,7046
5714,"inactive",197,192,568,7046
5718,"inactive",197,192,564,7046
5721,"inactive",197,192,568,7046
5722,"inactive",197,192,565,7046
5738,"inactive",198,193,568,7046
5743,"inactive",198,193,572,7046
5749,"inactive",198,193,570,7046
5751,"inactive",198,193,574,7046
5752,"inactive",198,193,577,7046
5753,"inactive",198,193,571,7046
5761,"inactive",198,193,574,7046
5762,"inactive",198,193,577,7046
5798,"inactive",199,194,577,7046
5801,"inactive",200,195,575,7046
5809,"inactive",200,195,577,7046
5812,"inactive",200,195,579,7046
5815,"inactive",200,195,578,7046
5855,"inactive",201,196,582,7046
5856,"inactive",201,196,591,7046
5859,"inactive",201,196,584,7046
5860,"inactive",201,196,582,7046
5861,"inactive",201,196,583,7046
5876,"inactive",202,197,583,7046
5885,"inactive",202,197,590,7046
5887,"inactive",202,197,588,7046
5890,"inactive",202,197,584,7046
5891,"inactive",202,197,586,7046
5895,"inactive",203,198,589,7046
5901,"inactive",203,198,588,7046
